MSPt-12,MSPt-11,MSPt-10,MSPt-9,MSPt-8,MSPt-7,MSPt-6,MSPt-5,MSPt-4,MSPt-3,MSPt-2,MSPt-1,MSPt,MSPt+1
131.0315112,111.0876,123.3062,183.6756591,139.1581,208.553,217.6544,180.3576904,113.1047,128.6435,132.4025076,142.2194,218.4403,217.2166
111.0876,123.3062,183.6756591,139.1581,208.553,217.6544,180.3576904,113.1047,128.6435,132.4025076,142.2194,218.4403,217.2166,203.2537693
123.3062,183.6756591,139.1581,208.553,217.6544,180.3576904,113.1047,128.6435,132.4025076,142.2194,218.4403,217.2166,203.2537693,117.5946
183.6756591,139.1581,208.553,217.6544,180.3576904,113.1047,128.6435,132.4025076,142.2194,218.4403,217.2166,203.2537693,117.5946,131.9071
139.1581,208.553,217.6544,180.3576904,113.1047,128.6435,132.4025076,142.2194,218.4403,217.2166,203.2537693,117.5946,131.9071,156.9048228
208.553,217.6544,180.3576904,113.1047,128.6435,132.4025076,142.2194,218.4403,217.2166,203.2537693,117.5946,131.9071,156.9048228,143.311
217.6544,180.3576904,113.1047,128.6435,132.4025076,142.2194,218.4403,217.2166,203.2537693,117.5946,131.9071,156.9048228,143.311,221.0968
180.3576904,113.1047,128.6435,132.4025076,142.2194,218.4403,217.2166,203.2537693,117.5946,131.9071,156.9048228,143.311,221.0968,214.1942
113.1047,128.6435,132.4025076,142.2194,218.4403,217.2166,203.2537693,117.5946,131.9071,156.9048228,143.311,221.0968,214.1942,207.3499284
128.6435,132.4025076,142.2194,218.4403,217.2166,203.2537693,117.5946,131.9071,156.9048228,143.311,221.0968,214.1942,207.3499284,122.8737
132.4025076,142.2194,218.4403,217.2166,203.2537693,117.5946,131.9071,156.9048228,143.311,221.0968,214.1942,207.3499284,122.8737,134.0315
142.2194,218.4403,217.2166,203.2537693,117.5946,131.9071,156.9048228,143.311,221.0968,214.1942,207.3499284,122.8737,134.0315,183.7299972
218.4403,217.2166,203.2537693,117.5946,131.9071,156.9048228,143.311,221.0968,214.1942,207.3499284,122.8737,134.0315,183.7299972,144.4426
217.2166,203.2537693,117.5946,131.9071,156.9048228,143.311,221.0968,214.1942,207.3499284,122.8737,134.0315,183.7299972,144.4426,219.1591
203.2537693,117.5946,131.9071,156.9048228,143.311,221.0968,214.1942,207.3499284,122.8737,134.0315,183.7299972,144.4426,219.1591,212.9739
117.5946,131.9071,156.9048228,143.311,221.0968,214.1942,207.3499284,122.8737,134.0315,183.7299972,144.4426,219.1591,212.9739,169.8088425
131.9071,156.9048228,143.311,221.0968,214.1942,207.3499284,122.8737,134.0315,183.7299972,144.4426,219.1591,212.9739,169.8088425,123.7736
156.9048228,143.311,221.0968,214.1942,207.3499284,122.8737,134.0315,183.7299972,144.4426,219.1591,212.9739,169.8088425,123.7736,134.8139
143.311,221.0968,214.1942,207.3499284,122.8737,134.0315,183.7299972,144.4426,219.1591,212.9739,169.8088425,123.7736,134.8139,191.6544464
221.0968,214.1942,207.3499284,122.8737,134.0315,183.7299972,144.4426,219.1591,212.9739,169.8088425,123.7736,134.8139,191.6544464,143.3179
214.1942,207.3499284,122.8737,134.0315,183.7299972,144.4426,219.1591,212.9739,169.8088425,123.7736,134.8139,191.6544464,143.3179,213.3334
207.3499284,122.8737,134.0315,183.7299972,144.4426,219.1591,212.9739,169.8088425,123.7736,134.8139,191.6544464,143.3179,213.3334,218.7727
122.8737,134.0315,183.7299972,144.4426,219.1591,212.9739,169.8088425,123.7736,134.8139,191.6544464,143.3179,213.3334,218.7727,147.3909055
134.0315,183.7299972,144.4426,219.1591,212.9739,169.8088425,123.7736,134.8139,191.6544464,143.3179,213.3334,218.7727,147.3909055,120.2393
183.7299972,144.4426,219.1591,212.9739,169.8088425,123.7736,134.8139,191.6544464,143.3179,213.3334,218.7727,147.3909055,120.2393,133.6734
144.4426,219.1591,212.9739,169.8088425,123.7736,134.8139,191.6544464,143.3179,213.3334,218.7727,147.3909055,120.2393,133.6734,207.2691045
219.1591,212.9739,169.8088425,123.7736,134.8139,191.6544464,143.3179,213.3334,218.7727,147.3909055,120.2393,133.6734,207.2691045,142.8802
212.9739,169.8088425,123.7736,134.8139,191.6544464,143.3179,213.3334,218.7727,147.3909055,120.2393,133.6734,207.2691045,142.8802,207.4576
169.8088425,123.7736,134.8139,191.6544464,143.3179,213.3334,218.7727,147.3909055,120.2393,133.6734,207.2691045,142.8802,207.4576,217.6177
123.7736,134.8139,191.6544464,143.3179,213.3334,218.7727,147.3909055,120.2393,133.6734,207.2691045,142.8802,207.4576,217.6177,138.2739968
134.8139,191.6544464,143.3179,213.3334,218.7727,147.3909055,120.2393,133.6734,207.2691045,142.8802,207.4576,217.6177,138.2739968,121.1702
191.6544464,143.3179,213.3334,218.7727,147.3909055,120.2393,133.6734,207.2691045,142.8802,207.4576,217.6177,138.2739968,121.1702,131.5969
143.3179,213.3334,218.7727,147.3909055,120.2393,133.6734,207.2691045,142.8802,207.4576,217.6177,138.2739968,121.1702,131.5969,180.9325638
213.3334,218.7727,147.3909055,120.2393,133.6734,207.2691045,142.8802,207.4576,217.6177,138.2739968,121.1702,131.5969,180.9325638,139.3294
218.7727,147.3909055,120.2393,133.6734,207.2691045,142.8802,207.4576,217.6177,138.2739968,121.1702,131.5969,180.9325638,139.3294,206.7416
147.3909055,120.2393,133.6734,207.2691045,142.8802,207.4576,217.6177,138.2739968,121.1702,131.5969,180.9325638,139.3294,206.7416,219.6869
120.2393,133.6734,207.2691045,142.8802,207.4576,217.6177,138.2739968,121.1702,131.5969,180.9325638,139.3294,206.7416,219.6869,155.7675638
133.6734,207.2691045,142.8802,207.4576,217.6177,138.2739968,121.1702,131.5969,180.9325638,139.3294,206.7416,219.6869,155.7675638,123.1036
207.2691045,142.8802,207.4576,217.6177,138.2739968,121.1702,131.5969,180.9325638,139.3294,206.7416,219.6869,155.7675638,123.1036,128.6448
142.8802,207.4576,217.6177,138.2739968,121.1702,131.5969,180.9325638,139.3294,206.7416,219.6869,155.7675638,123.1036,128.6448,155.8197178
207.4576,217.6177,138.2739968,121.1702,131.5969,180.9325638,139.3294,206.7416,219.6869,155.7675638,123.1036,128.6448,155.8197178,135.9193
217.6177,138.2739968,121.1702,131.5969,180.9325638,139.3294,206.7416,219.6869,155.7675638,123.1036,128.6448,155.8197178,135.9193,206.2097
138.2739968,121.1702,131.5969,180.9325638,139.3294,206.7416,219.6869,155.7675638,123.1036,128.6448,155.8197178,135.9193,206.2097,219.9947
121.1702,131.5969,180.9325638,139.3294,206.7416,219.6869,155.7675638,123.1036,128.6448,155.8197178,135.9193,206.2097,219.9947,152.5461015
131.5969,180.9325638,139.3294,206.7416,219.6869,155.7675638,123.1036,128.6448,155.8197178,135.9193,206.2097,219.9947,152.5461015,123.8596
180.9325638,139.3294,206.7416,219.6869,155.7675638,123.1036,128.6448,155.8197178,135.9193,206.2097,219.9947,152.5461015,123.8596,126.9323
139.3294,206.7416,219.6869,155.7675638,123.1036,128.6448,155.8197178,135.9193,206.2097,219.9947,152.5461015,123.8596,126.9323,219.8333944
206.7416,219.6869,155.7675638,123.1036,128.6448,155.8197178,135.9193,206.2097,219.9947,152.5461015,123.8596,126.9323,219.8333944,133.8179
219.6869,155.7675638,123.1036,128.6448,155.8197178,135.9193,206.2097,219.9947,152.5461015,123.8596,126.9323,219.8333944,133.8179,200.9456
155.7675638,123.1036,128.6448,155.8197178,135.9193,206.2097,219.9947,152.5461015,123.8596,126.9323,219.8333944,133.8179,200.9456,211.4506
123.1036,128.6448,155.8197178,135.9193,206.2097,219.9947,152.5461015,123.8596,126.9323,219.8333944,133.8179,200.9456,211.4506,127.3399775
128.6448,155.8197178,135.9193,206.2097,219.9947,152.5461015,123.8596,126.9323,219.8333944,133.8179,200.9456,211.4506,127.3399775,123.0077
