DT,MLP,MPC,SFL,SFG,IV,DV,TNV,BSI,PTR,MHI,MSP
2011-12-28,136.0619075,4.767581205,36.89,63.11,10.2,80.6,5.113,5.236294896,11.92,1.663113006,138.6175
2012-01-05,190.5857544,3.572704537,31.31,68.69,25.76,58.47,5.3625,0.680529301,14.04,8.933901919,193.2583
2012-01-10,250.68353,4.050008804,32.21902154,59.52834293,30.6,53.62,5.6354,2.854442344,17.81,3.304904051,217.0298
2012-01-15,130.5774278,4.615384615,39.56679575,58.80509087,25.56,61.83,5.335991418,6.29489603,11.25,4.206960257,146.4868383
2012-01-18,162.1360392,6.325060048,43.26647011,65.4487239,24.36,62.43,4.4367,1.993722093,10.51,0.490405117,117.1669
2012-01-20,133.0195377,3.942307692,32.35,67.65,22.98,60.93,5.0418,3.122093371,11.14,3.176972281,123.9385
2012-01-25,213.5313147,6.128433415,36.01001159,58.29421822,33.1,55.72,4.765275369,4.480151229,13.61,7.292110874,132.1349279
2012-01-28,137.0513676,4.373610082,43.28,56.72,13.81,74.76,5.1767,5.236294896,11.88,1.663113006,136.9242
2012-02-05,193.2666667,3.584229391,33.37,66.63,28.9,55.03,5.4431,0.680529301,14.02,8.933901919,187.8511
2012-02-10,249.5831017,4.08997955,37.33867202,70.1432133,33.11,50.79,5.6448,2.854442344,17.75,3.304904051,213.5626
2012-02-15,130.6040292,5.835123538,32.67204355,66.09111539,27.71,59.52,5.400783251,6.29489603,11.37,4.828408376,158.1196912
2012-02-18,161.8705036,5.981931486,26.16419042,74.21581554,25.64,60.87,4.4835,3.163279937,10.43,0.490405117,112.4091
2012-02-20,133.1961594,3.450655625,25.75,74.25,23.24,61.33,4.9198,3.519371662,11.16,3.176972281,126.4212
2012-02-25,238.2065715,4.532155903,37.37531264,70.00939558,32.49,56.85,4.795240493,4.480151229,13.31,7.292110874,211.7575684
2012-02-28,134.9635036,4.545454545,38.51,61.49,14.62,73.74,5.2654,5.236294896,11.91,1.663113006,133.6789
2012-03-05,198.2127885,3.432835821,31.83,68.17,32.03,51.99,5.4837,0.680529301,13.94,8.933901919,191.9017
2012-03-10,249.0820188,3.994137032,38.32697525,64.0481047,36.55,47.91,5.677,2.854442344,17.61,3.304904051,212.3
2012-03-15,134.4430218,3.812705742,33.78544139,69.42573259,33.67,52.52,4.844203073,6.29489603,11.35,2.408200121,137.337357
2012-03-18,162.4109785,5.219206681,33.03326815,67.43326855,26.81,60.26,4.5145,3.168648355,10.05,0.490405117,110.7645
2012-03-20,134.7222222,3.571084181,29.15,70.85,25.34,58.78,4.9456,6.267656697,10.98,3.176972281,124.917
2012-03-25,167.5653098,5.108971646,29.69510581,62.92396953,32.75,56.27,5.033197032,4.480151229,13.14,7.292110874,145.5983138
2012-03-28,136.9156002,4.141414141,38.4,61.6,18.34,69.09,5.2616,5.236294896,11.95,1.663113006,135.7289
2012-04-05,202.4488389,3.333344444,32.09,67.91,35.38,47.92,5.5263,0.680529301,13.88,8.933901919,198.4896
2012-04-10,248.9583333,3.705762588,33.65384895,75.50311843,41.16,41.97,5.7402,2.854442344,17.31,3.304904051,220.1588
2012-04-15,137.1428571,4.00160064,25.594096,74.33185194,39.47,44.94,5.333325954,6.29489603,11.19,3.579230926,131.0315112
2012-04-18,164.8622047,5.885815185,30.5970496,71.98947055,26.75,60.6,4.5573,5.508607534,11.65,0.490405117,111.0876
2012-04-20,136.7982216,3.684573368,21.88,78.12,28.62,54.43,4.9387,0.980328384,10.91,3.176972281,123.3062
2012-04-25,222.7299337,5.288509569,30.03807,69.59182111,32.46,55.93,5.189749746,4.480151229,13,7.292110874,183.6756591
