MLPt-8,MLPt-7,MLPt-6,MLPt-5,MLPt-4,MLPt-3,MLPt-2,MLPt-1,MPCt-8,MPCt-7,MPCt-6,MPCt-5,MPCt-4,MPCt-3,MPCt-2,MPCt-1,SFLt-8,SFLt-7,SFLt-6,SFLt-5,SFLt-4,SFLt-3,SFLt-2,SFLt-1,SFGt-8,SFGt-7,SFGt-6,SFGt-5,SFGt-4,SFGt-3,SFGt-2,SFGt-1,IVt-8,IVt-7,IVt-6,IVt-5,IVt-4,IVt-3,IVt-2,IVt-1,DVt-8,DVt-7,DVt-6,DVt-5,DVt-4,DVt-3,DVt-2,DVt-1,TNVt-8,TNVt-7,TNVt-6,TNVt-5,TNVt-4,TNVt-3,TNVt-2,TNVt-1,BSIt-8,BSIt-7,BSIt-6,BSIt-5,BSIt-4,BSIt-3,BSIt-2,BSIt-1,PTRt-8,PTRt-7,PTRt-6,PTRt-5,PTRt-4,PTRt-3,PTRt-2,PTRt-1,MHIt-8,MHIt-7,MHIt-6,MHIt-5,MHIt-4,MHIt-3,MHIt-2,MHIt-1,MSPt-8,MSPt-7,MSPt-6,MSPt-5,MSPt-4,MSPt-3,MSPt-2,MSPt-1,MSPt,MSPt+1
87.14030178,136.4502768,91.79091645,88.26650943,84.76685744,129.0262866,219.7916667,87.48435544,4.170141785,4.003202562,5.008768167,6.230590062,4.854368932,5.002501251,4.776192846,4.155872193,19.53667,19.08,18.18,19.53667,19.53667,19.53667,22.79,20.42667,80.46333,80.92,81.82,80.46333,80.46333,80.46333,77.21,79.57333,33.34,25.8,29.94666667,37.75,19.86,37.15,25.04,31.63,48.9,59.14,57.52666667,51.56,72.17,51.14,63.15,51.22,4.132,4.0557,3.658316667,4.0604,3.1138,3.2545,3.3076,4.123,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,9.31,10.11,7.36,6.58,6.69,8.79,14.11,8.65,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,84.4796,129.9556,117.9777,79.9631,73.2828,108.9853,228.924,84.1008,126.9658,115.4132
136.4502768,91.79091645,88.26650943,84.76685744,129.0262866,219.7916667,87.48435544,136.9513539,4.003202562,5.008768167,6.230590062,4.854368932,5.002501251,4.776192846,4.155872193,3.585230572,19.08,18.18,19.53667,19.53667,19.53667,22.79,20.42667,18.24,80.92,81.82,80.46333,80.46333,80.46333,77.21,79.57333,81.76,25.8,29.94666667,37.75,19.86,37.15,25.04,31.63,24.91,59.14,57.52666667,51.56,72.17,51.14,63.15,51.22,60.42,4.0557,3.658316667,4.0604,3.1138,3.2545,3.3076,4.123,4.0942,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,10.11,7.36,6.58,6.69,8.79,14.11,8.65,10.09,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,129.9556,117.9777,79.9631,73.2828,108.9853,228.924,84.1008,126.9658,115.4132,71.6053
91.79091645,88.26650943,84.76685744,129.0262866,219.7916667,87.48435544,136.9513539,91.66666667,5.008768167,6.230590062,4.854368932,5.002501251,4.776192846,4.155872193,3.585230572,4.16,18.18,19.53667,19.53667,19.53667,22.79,20.42667,18.24,20.25,81.82,80.46333,80.46333,80.46333,77.21,79.57333,81.76,79.75,29.94666667,37.75,19.86,37.15,25.04,31.63,24.91,28.71833333,57.52666667,51.56,72.17,51.14,63.15,51.22,60.42,59.15666667,3.658316667,4.0604,3.1138,3.2545,3.3076,4.123,4.0942,3.774883333,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,7.36,6.58,6.69,8.79,14.11,8.65,10.09,7.55,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,117.9777,79.9631,73.2828,108.9853,228.924,84.1008,126.9658,115.4132,71.6053,69.2544
88.26650943,84.76685744,129.0262866,219.7916667,87.48435544,136.9513539,91.66666667,87.61682243,6.230590062,4.854368932,5.002501251,4.776192846,4.155872193,3.585230572,4.16,5.644171779,19.53667,19.53667,19.53667,22.79,20.42667,18.24,20.25,20.42667,80.46333,80.46333,80.46333,77.21,79.57333,81.76,79.75,79.57333,37.75,19.86,37.15,25.04,31.63,24.91,28.71833333,37.58,51.56,72.17,51.14,63.15,51.22,60.42,59.15666667,52.22,4.0604,3.1138,3.2545,3.3076,4.123,4.0942,3.774883333,4.0711,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,6.58,6.69,8.79,14.11,8.65,10.09,7.55,6.65,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,79.9631,73.2828,108.9853,228.924,84.1008,126.9658,115.4132,71.6053,69.2544,111.6288
84.76685744,129.0262866,219.7916667,87.48435544,136.9513539,91.66666667,87.61682243,81.89398451,4.854368932,5.002501251,4.776192846,4.155872193,3.585230572,4.16,5.644171779,4.299863286,19.53667,19.53667,22.79,20.42667,18.24,20.25,20.42667,20.42667,80.46333,80.46333,77.21,79.57333,81.76,79.75,79.57333,79.57333,19.86,37.15,25.04,31.63,24.91,28.71833333,37.58,18.36,72.17,51.14,63.15,51.22,60.42,59.15666667,52.22,73.89,3.1138,3.2545,3.3076,4.123,4.0942,3.774883333,4.0711,3.288,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,6.69,8.79,14.11,8.65,10.09,7.55,6.65,6.72,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,73.2828,108.9853,228.924,84.1008,126.9658,115.4132,71.6053,69.2544,111.6288,229.718
129.0262866,219.7916667,87.48435544,136.9513539,91.66666667,87.61682243,81.89398451,126.1807308,5.002501251,4.776192846,4.155872193,3.585230572,4.16,5.644171779,4.299863286,5.406866721,19.53667,22.79,20.42667,18.24,20.25,20.42667,20.42667,20.42667,80.46333,77.21,79.57333,81.76,79.75,79.57333,79.57333,79.57333,37.15,25.04,31.63,24.91,28.71833333,37.58,18.36,34.79,51.14,63.15,51.22,60.42,59.15666667,52.22,73.89,54.04,3.2545,3.3076,4.123,4.0942,3.774883333,4.0711,3.288,3.7654,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.79,14.11,8.65,10.09,7.55,6.65,6.72,8.74,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,108.9853,228.924,84.1008,126.9658,115.4132,71.6053,69.2544,111.6288,229.718,82.0749
219.7916667,87.48435544,136.9513539,91.66666667,87.61682243,81.89398451,126.1807308,215.7326131,4.776192846,4.155872193,3.585230572,4.16,5.644171779,4.299863286,5.406866721,4.763416958,22.79,20.42667,18.24,20.25,20.42667,20.42667,20.42667,23.85,77.21,79.57333,81.76,79.75,79.57333,79.57333,79.57333,76.15,25.04,31.63,24.91,28.71833333,37.58,18.36,34.79,23.84,63.15,51.22,60.42,59.15666667,52.22,73.89,54.04,64.81,3.3076,4.123,4.0942,3.774883333,4.0711,3.288,3.7654,3.3114,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,14.11,8.65,10.09,7.55,6.65,6.72,8.74,13.99,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,228.924,84.1008,126.9658,115.4132,71.6053,69.2544,111.6288,229.718,82.0749,127.5368
87.48435544,136.9513539,91.66666667,87.61682243,81.89398451,126.1807308,215.7326131,88.57142857,4.155872193,3.585230572,4.16,5.644171779,4.299863286,5.406866721,4.763416958,3.848620911,20.42667,18.24,20.25,20.42667,20.42667,20.42667,23.85,25.21,79.57333,81.76,79.75,79.57333,79.57333,79.57333,76.15,74.79,31.63,24.91,28.71833333,37.58,18.36,34.79,23.84,30.43,51.22,60.42,59.15666667,52.22,73.89,54.04,64.81,52.83,4.123,4.0942,3.774883333,4.0711,3.288,3.7654,3.3114,4.0829,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.65,10.09,7.55,6.65,6.72,8.74,13.99,8.35,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,84.1008,126.9658,115.4132,71.6053,69.2544,111.6288,229.718,82.0749,127.5368,114.5715
136.9513539,91.66666667,87.61682243,81.89398451,126.1807308,215.7326131,88.57142857,137.0389344,3.585230572,4.16,5.644171779,4.299863286,5.406866721,4.763416958,3.848620911,3.670818021,18.24,20.25,20.42667,20.42667,20.42667,23.85,25.21,24.19,81.76,79.75,79.57333,79.57333,79.57333,76.15,74.79,75.81,24.91,28.71833333,37.58,18.36,34.79,23.84,30.43,24.15,60.42,59.15666667,52.22,73.89,54.04,64.81,52.83,61.35,4.0942,3.774883333,4.0711,3.288,3.7654,3.3114,4.0829,4.1068,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,10.09,7.55,6.65,6.72,8.74,13.99,8.35,10.38,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,126.9658,115.4132,71.6053,69.2544,111.6288,229.718,82.0749,127.5368,114.5715,66.6447
91.66666667,87.61682243,81.89398451,126.1807308,215.7326131,88.57142857,137.0389344,94.38522398,4.16,5.644171779,4.299863286,5.406866721,4.763416958,3.848620911,3.670818021,3.715488215,20.25,20.42667,20.42667,20.42667,23.85,25.21,24.19,27.59,79.75,79.57333,79.57333,79.57333,76.15,74.79,75.81,72.41,28.71833333,37.58,18.36,34.79,23.84,30.43,24.15,28.26,59.15666667,52.22,73.89,54.04,64.81,52.83,61.35,59.895,3.774883333,4.0711,3.288,3.7654,3.3114,4.0829,4.1068,3.7584,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,7.55,6.65,6.72,8.74,13.99,8.35,10.38,7.35,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,115.4132,71.6053,69.2544,111.6288,229.718,82.0749,127.5368,114.5715,66.6447,69.0471
87.61682243,81.89398451,126.1807308,215.7326131,88.57142857,137.0389344,94.38522398,81.25,5.644171779,4.299863286,5.406866721,4.763416958,3.848620911,3.670818021,3.715488215,6.081601232,20.42667,20.42667,20.42667,23.85,25.21,24.19,27.59,25.21,79.57333,79.57333,79.57333,76.15,74.79,75.81,72.41,74.79,37.58,18.36,34.79,23.84,30.43,24.15,28.26,38.87,52.22,73.89,54.04,64.81,52.83,61.35,59.895,50.89,4.0711,3.288,3.7654,3.3114,4.0829,4.1068,3.7584,4.0404,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,6.65,6.72,8.74,13.99,8.35,10.38,7.35,6.66,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,71.6053,69.2544,111.6288,229.718,82.0749,127.5368,114.5715,66.6447,69.0471,112.4075
