MSPt-1,MSPt-3,MSPt-2,MSPt-5,MSPt-6,IVt-1,IVt-2,DVt-3,MLPt-8,DVt-5,MLPt-6,MLPt-7,MLPt-5,MLPt-2,MLPt-3,MLPt-1
219.9172,125.9871351,147.8325,125.8736,152.6425988,19.87,9.21,35.26,202.3034768,59.08,140.8633561,253.55273,165.4120772,143.92,217.2060795,200.0805153
213.3765,147.8325,219.9172,136.1516,125.8736,24.64,19.87,82.18,253.55273,76.93,165.4120772,140.8633561,139.1194332,200.0805153,143.92,253.2855436
218.1564163,219.9172,213.3765,125.9871351,136.1516,15.57,24.64,64.87,140.8633561,35.26,139.1194332,165.4120772,217.2060795,253.2855436,200.0805153,140.5141349
124.3721,213.3765,218.1564163,147.8325,125.9871351,26.77,15.57,60.1,165.4120772,82.18,217.2060795,139.1194332,143.92,140.5141349,253.2855436,164.1255869
138.8965,218.1564163,124.3721,219.9172,147.8325,13.58,26.77,73.11,139.1194332,64.87,143.92,217.2060795,200.0805153,164.1255869,140.5141349,139.7166728
182.6981989,124.3721,138.8965,213.3765,219.9172,52.5,13.58,58.72,217.2060795,60.1,200.0805153,143.92,253.2855436,139.7166728,164.1255869,244.5705606
145.4735,138.8965,182.6981989,218.1564163,213.3765,9.66,52.5,73.49,143.92,73.11,253.2855436,200.0805153,140.5141349,244.5705606,139.7166728,142.9353006
214.0416,182.6981989,145.4735,124.3721,218.1564163,20.18,9.66,35.43,200.0805153,58.72,140.5141349,253.2855436,164.1255869,142.9353006,244.5705606,199.27905
213.6502,145.4735,214.0416,138.8965,124.3721,25.24,20.18,81.29,253.2855436,73.49,164.1255869,140.5141349,139.7166728,199.27905,142.9353006,253.4366097
180.8150588,214.0416,213.6502,182.6981989,138.8965,17.09,25.24,64.56,140.5141349,35.43,139.7166728,164.1255869,244.5705606,253.4366097,199.27905,142.8571429
127.3712,213.6502,180.8150588,145.4735,182.6981989,27.3,17.09,59.64,164.1255869,81.29,244.5705606,139.7166728,142.9353006,142.8571429,253.4366097,164.5408163
134.1841,180.8150588,127.3712,214.0416,145.4735,14.65,27.3,71.63,139.7166728,64.56,142.9353006,244.5705606,199.27905,164.5408163,142.8571429,138.1599676
167.745336,127.3712,134.1841,213.6502,214.0416,55.23,14.65,56.99,244.5705606,59.64,199.27905,142.9353006,253.4366097,138.1599676,164.5408163,203.8283682
142.0231,134.1841,167.745336,180.8150588,213.6502,9.61,55.23,71.99,142.9353006,71.63,253.4366097,199.27905,142.8571429,203.8283682,138.1599676,141.9373129
203.4429,167.745336,142.0231,127.3712,180.8150588,20.93,9.61,33.0,199.27905,56.99,142.8571429,253.4366097,164.5408163,141.9373129,203.8283682,197.578426
211.8937,142.0231,203.4429,134.1841,127.3712,26.58,20.93,81.27,253.4366097,71.99,164.5408163,142.8571429,138.1599676,197.578426,141.9373129,251.8132975
131.8328431,203.4429,211.8937,167.745336,134.1841,17.98,26.58,63.85,142.8571429,33.0,138.1599676,164.5408163,203.8283682,251.8132975,197.578426,140.0862069
129.0827,211.8937,131.8328431,142.0231,167.745336,25.77,17.98,57.76,164.5408163,81.27,203.8283682,138.1599676,141.9373129,140.0862069,251.8132975,165.3311966
130.6906,131.8328431,129.0827,203.4429,142.0231,16.93,25.77,70.93,138.1599676,63.85,141.9373129,203.8283682,197.578426,165.3311966,140.0862069,137.6530612
187.8344731,129.0827,130.6906,211.8937,203.4429,50.73,16.93,59.7,203.8283682,57.76,197.578426,141.9373129,251.8132975,137.6530612,165.3311966,250.3337465
143.1748,130.6906,187.8344731,131.8328431,211.8937,9.04,50.73,68.62,141.9373129,70.93,251.8132975,197.578426,140.0862069,250.3337465,137.6530612,140.5814806
200.6229,187.8344731,143.1748,129.0827,131.8328431,23.1,9.04,37.54,197.578426,59.7,140.0862069,251.8132975,165.3311966,140.5814806,250.3337465,192.2147002
213.1844,143.1748,200.6229,130.6906,129.0827,27.03,23.1,82.2,251.8132975,68.62,165.3311966,140.0862069,137.6530612,192.2147002,140.5814806,251.0917031
193.9606585,200.6229,213.1844,187.8344731,130.6906,20.6,27.03,61.38,140.0862069,37.54,137.6530612,165.3311966,250.3337465,251.0917031,192.2147002,136.4003026
