SFLt-12,SFLt-11,SFLt-10,SFLt-9,SFLt-8,SFLt-7,SFLt-6,SFLt-5,SFLt-4,SFLt-3,SFLt-2,SFLt-1
21.17667,19.86,20.93,21.17667,21.17667,21.17667,23.2,19.20333,18.31,16.1,19.20333,19.20333
19.86,20.93,21.17667,21.17667,21.17667,23.2,19.20333,18.31,16.1,19.20333,19.20333,19.20333
20.93,21.17667,21.17667,21.17667,23.2,19.20333,18.31,16.1,19.20333,19.20333,19.20333,24.55
21.17667,21.17667,21.17667,23.2,19.20333,18.31,16.1,19.20333,19.20333,19.20333,24.55,22.44
21.17667,21.17667,23.2,19.20333,18.31,16.1,19.20333,19.20333,19.20333,24.55,22.44,20.61
21.17667,23.2,19.20333,18.31,16.1,19.20333,19.20333,19.20333,24.55,22.44,20.61,22.16
23.2,19.20333,18.31,16.1,19.20333,19.20333,19.20333,24.55,22.44,20.61,22.16,22.44
19.20333,18.31,16.1,19.20333,19.20333,19.20333,24.55,22.44,20.61,22.16,22.44,22.44
18.31,16.1,19.20333,19.20333,19.20333,24.55,22.44,20.61,22.16,22.44,22.44,22.44
16.1,19.20333,19.20333,19.20333,24.55,22.44,20.61,22.16,22.44,22.44,22.44,23.95
19.20333,19.20333,19.20333,24.55,22.44,20.61,22.16,22.44,22.44,22.44,23.95,23.26
19.20333,19.20333,24.55,22.44,20.61,22.16,22.44,22.44,22.44,23.95,23.26,20.19
19.20333,24.55,22.44,20.61,22.16,22.44,22.44,22.44,23.95,23.26,20.19,25.64
24.55,22.44,20.61,22.16,22.44,22.44,22.44,23.95,23.26,20.19,25.64,23.26
22.44,20.61,22.16,22.44,22.44,22.44,23.95,23.26,20.19,25.64,23.26,23.26
20.61,22.16,22.44,22.44,22.44,23.95,23.26,20.19,25.64,23.26,23.26,23.26
22.16,22.44,22.44,22.44,23.95,23.26,20.19,25.64,23.26,23.26,23.26,24.58
22.44,22.44,22.44,23.95,23.26,20.19,25.64,23.26,23.26,23.26,24.58,23.17333
22.44,22.44,23.95,23.26,20.19,25.64,23.26,23.26,23.26,24.58,23.17333,21.36
22.44,23.95,23.26,20.19,25.64,23.26,23.26,23.26,24.58,23.17333,21.36,23.58
23.95,23.26,20.19,25.64,23.26,23.26,23.26,24.58,23.17333,21.36,23.58,23.17333
23.26,20.19,25.64,23.26,23.26,23.26,24.58,23.17333,21.36,23.58,23.17333,23.17333
20.19,25.64,23.26,23.26,23.26,24.58,23.17333,21.36,23.58,23.17333,23.17333,23.17333
25.64,23.26,23.26,23.26,24.58,23.17333,21.36,23.58,23.17333,23.17333,23.17333,25.52
23.26,23.26,23.26,24.58,23.17333,21.36,23.58,23.17333,23.17333,23.17333,25.52,23.48333
23.26,23.26,24.58,23.17333,21.36,23.58,23.17333,23.17333,23.17333,25.52,23.48333,24.16
23.26,24.58,23.17333,21.36,23.58,23.17333,23.17333,23.17333,25.52,23.48333,24.16,20.77
24.58,23.17333,21.36,23.58,23.17333,23.17333,23.17333,25.52,23.48333,24.16,20.77,23.48333
23.17333,21.36,23.58,23.17333,23.17333,23.17333,25.52,23.48333,24.16,20.77,23.48333,23.48333
21.36,23.58,23.17333,23.17333,23.17333,25.52,23.48333,24.16,20.77,23.48333,23.48333,23.48333
23.58,23.17333,23.17333,23.17333,25.52,23.48333,24.16,20.77,23.48333,23.48333,23.48333,27.62
23.17333,23.17333,23.17333,25.52,23.48333,24.16,20.77,23.48333,23.48333,23.48333,27.62,25.71667
23.17333,23.17333,25.52,23.48333,24.16,20.77,23.48333,23.48333,23.48333,27.62,25.71667,23.4
23.17333,25.52,23.48333,24.16,20.77,23.48333,23.48333,23.48333,27.62,25.71667,23.4,26.13
25.52,23.48333,24.16,20.77,23.48333,23.48333,23.48333,27.62,25.71667,23.4,26.13,25.71667
23.48333,24.16,20.77,23.48333,23.48333,23.48333,27.62,25.71667,23.4,26.13,25.71667,25.71667
24.16,20.77,23.48333,23.48333,23.48333,27.62,25.71667,23.4,26.13,25.71667,25.71667,25.71667
20.77,23.48333,23.48333,23.48333,27.62,25.71667,23.4,26.13,25.71667,25.71667,25.71667,26.59
23.48333,23.48333,23.48333,27.62,25.71667,23.4,26.13,25.71667,25.71667,25.71667,26.59,25.62667
