BSIt-12,BSIt-11,BSIt-10,BSIt-9,BSIt-8,BSIt-7,BSIt-6,BSIt-5,BSIt-4,BSIt-3,BSIt-2,BSIt-1
6.29489603,4.645340599,4.280436161,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,3.993998241,5.970776455,4.480151229,5.236294896
4.645340599,4.280436161,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,3.993998241,5.970776455,4.480151229,5.236294896,0.680529301
4.280436161,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,3.993998241,5.970776455,4.480151229,5.236294896,0.680529301,2.854442344
4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,3.993998241,5.970776455,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603
5.236294896,0.680529301,2.854442344,6.29489603,3.993998241,5.970776455,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,1.833988808
0.680529301,2.854442344,6.29489603,3.993998241,5.970776455,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,1.833988808,5.864474869
2.854442344,6.29489603,3.993998241,5.970776455,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,1.833988808,5.864474869,4.480151229
6.29489603,3.993998241,5.970776455,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,1.833988808,5.864474869,4.480151229,5.236294896
3.993998241,5.970776455,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,1.833988808,5.864474869,4.480151229,5.236294896,0.680529301
5.970776455,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,1.833988808,5.864474869,4.480151229,5.236294896,0.680529301,2.854442344
4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,1.833988808,5.864474869,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603
5.236294896,0.680529301,2.854442344,6.29489603,1.833988808,5.864474869,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,4.52150581
0.680529301,2.854442344,6.29489603,1.833988808,5.864474869,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,4.52150581,2.339164762
2.854442344,6.29489603,1.833988808,5.864474869,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,4.52150581,2.339164762,4.480151229
6.29489603,1.833988808,5.864474869,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,4.52150581,2.339164762,4.480151229,5.236294896
1.833988808,5.864474869,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,4.52150581,2.339164762,4.480151229,5.236294896,0.680529301
5.864474869,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,4.52150581,2.339164762,4.480151229,5.236294896,0.680529301,2.854442344
4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,4.52150581,2.339164762,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603
5.236294896,0.680529301,2.854442344,6.29489603,4.52150581,2.339164762,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,4.460282159
0.680529301,2.854442344,6.29489603,4.52150581,2.339164762,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,4.460282159,4.153208196
2.854442344,6.29489603,4.52150581,2.339164762,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,4.460282159,4.153208196,4.480151229
6.29489603,4.52150581,2.339164762,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,4.460282159,4.153208196,4.480151229,5.236294896
4.52150581,2.339164762,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,4.460282159,4.153208196,4.480151229,5.236294896,0.680529301
2.339164762,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,4.460282159,4.153208196,4.480151229,5.236294896,0.680529301,2.854442344
4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,4.460282159,4.153208196,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603
5.236294896,0.680529301,2.854442344,6.29489603,4.460282159,4.153208196,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,2.567677972
0.680529301,2.854442344,6.29489603,4.460282159,4.153208196,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,2.567677972,3.57531595
2.854442344,6.29489603,4.460282159,4.153208196,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,2.567677972,3.57531595,4.480151229
6.29489603,4.460282159,4.153208196,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,2.567677972,3.57531595,4.480151229,5.236294896
4.460282159,4.153208196,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,2.567677972,3.57531595,4.480151229,5.236294896,0.680529301
4.153208196,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,2.567677972,3.57531595,4.480151229,5.236294896,0.680529301,2.854442344
4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,2.567677972,3.57531595,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603
5.236294896,0.680529301,2.854442344,6.29489603,2.567677972,3.57531595,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,2.881923281
0.680529301,2.854442344,6.29489603,2.567677972,3.57531595,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,2.881923281,2.018657312
2.854442344,6.29489603,2.567677972,3.57531595,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,2.881923281,2.018657312,4.480151229
