MSPt-12,MSPt-11,MSPt-10,MSPt-9,MSPt-8,MSPt-7,MSPt-6,MSPt-5,MSPt-4,MSPt-3,MSPt-2,MSPt-1,MSPt,MSPt+1
87.4962,131.6312,117.8438,71.0805,74.3713,108.7553,230.7781,86.434,129.1648,117.354,74.0448,75.8239,107.8786,227.3584
131.6312,117.8438,71.0805,74.3713,108.7553,230.7781,86.434,129.1648,117.354,74.0448,75.8239,107.8786,227.3584,86.2865
117.8438,71.0805,74.3713,108.7553,230.7781,86.434,129.1648,117.354,74.0448,75.8239,107.8786,227.3584,86.2865,130.6538
71.0805,74.3713,108.7553,230.7781,86.434,129.1648,117.354,74.0448,75.8239,107.8786,227.3584,86.2865,130.6538,117.9588
74.3713,108.7553,230.7781,86.434,129.1648,117.354,74.0448,75.8239,107.8786,227.3584,86.2865,130.6538,117.9588,77.7368
108.7553,230.7781,86.434,129.1648,117.354,74.0448,75.8239,107.8786,227.3584,86.2865,130.6538,117.9588,77.7368,75.7496
230.7781,86.434,129.1648,117.354,74.0448,75.8239,107.8786,227.3584,86.2865,130.6538,117.9588,77.7368,75.7496,109.9677
86.434,129.1648,117.354,74.0448,75.8239,107.8786,227.3584,86.2865,130.6538,117.9588,77.7368,75.7496,109.9677,221.4781
129.1648,117.354,74.0448,75.8239,107.8786,227.3584,86.2865,130.6538,117.9588,77.7368,75.7496,109.9677,221.4781,86.2178
117.354,74.0448,75.8239,107.8786,227.3584,86.2865,130.6538,117.9588,77.7368,75.7496,109.9677,221.4781,86.2178,128.3126
74.0448,75.8239,107.8786,227.3584,86.2865,130.6538,117.9588,77.7368,75.7496,109.9677,221.4781,86.2178,128.3126,116.5057
75.8239,107.8786,227.3584,86.2865,130.6538,117.9588,77.7368,75.7496,109.9677,221.4781,86.2178,128.3126,116.5057,74.5605
107.8786,227.3584,86.2865,130.6538,117.9588,77.7368,75.7496,109.9677,221.4781,86.2178,128.3126,116.5057,74.5605,72.4813
227.3584,86.2865,130.6538,117.9588,77.7368,75.7496,109.9677,221.4781,86.2178,128.3126,116.5057,74.5605,72.4813,115.9838
86.2865,130.6538,117.9588,77.7368,75.7496,109.9677,221.4781,86.2178,128.3126,116.5057,74.5605,72.4813,115.9838,215.0015
130.6538,117.9588,77.7368,75.7496,109.9677,221.4781,86.2178,128.3126,116.5057,74.5605,72.4813,115.9838,215.0015,85.31
117.9588,77.7368,75.7496,109.9677,221.4781,86.2178,128.3126,116.5057,74.5605,72.4813,115.9838,215.0015,85.31,127.7413
77.7368,75.7496,109.9677,221.4781,86.2178,128.3126,116.5057,74.5605,72.4813,115.9838,215.0015,85.31,127.7413,112.7881
75.7496,109.9677,221.4781,86.2178,128.3126,116.5057,74.5605,72.4813,115.9838,215.0015,85.31,127.7413,112.7881,73.3758
109.9677,221.4781,86.2178,128.3126,116.5057,74.5605,72.4813,115.9838,215.0015,85.31,127.7413,112.7881,73.3758,71.3695
221.4781,86.2178,128.3126,116.5057,74.5605,72.4813,115.9838,215.0015,85.31,127.7413,112.7881,73.3758,71.3695,103.9302
86.2178,128.3126,116.5057,74.5605,72.4813,115.9838,215.0015,85.31,127.7413,112.7881,73.3758,71.3695,103.9302,212.1263
128.3126,116.5057,74.5605,72.4813,115.9838,215.0015,85.31,127.7413,112.7881,73.3758,71.3695,103.9302,212.1263,85.2237
116.5057,74.5605,72.4813,115.9838,215.0015,85.31,127.7413,112.7881,73.3758,71.3695,103.9302,212.1263,85.2237,124.8808
74.5605,72.4813,115.9838,215.0015,85.31,127.7413,112.7881,73.3758,71.3695,103.9302,212.1263,85.2237,124.8808,111.1893
72.4813,115.9838,215.0015,85.31,127.7413,112.7881,73.3758,71.3695,103.9302,212.1263,85.2237,124.8808,111.1893,69.36
115.9838,215.0015,85.31,127.7413,112.7881,73.3758,71.3695,103.9302,212.1263,85.2237,124.8808,111.1893,69.36,71.5485
215.0015,85.31,127.7413,112.7881,73.3758,71.3695,103.9302,212.1263,85.2237,124.8808,111.1893,69.36,71.5485,103.9964
85.31,127.7413,112.7881,73.3758,71.3695,103.9302,212.1263,85.2237,124.8808,111.1893,69.36,71.5485,103.9964,214.4316
127.7413,112.7881,73.3758,71.3695,103.9302,212.1263,85.2237,124.8808,111.1893,69.36,71.5485,103.9964,214.4316,84.6459
112.7881,73.3758,71.3695,103.9302,212.1263,85.2237,124.8808,111.1893,69.36,71.5485,103.9964,214.4316,84.6459,123.9332
73.3758,71.3695,103.9302,212.1263,85.2237,124.8808,111.1893,69.36,71.5485,103.9964,214.4316,84.6459,123.9332,112.3211
71.3695,103.9302,212.1263,85.2237,124.8808,111.1893,69.36,71.5485,103.9964,214.4316,84.6459,123.9332,112.3211,67.9243
103.9302,212.1263,85.2237,124.8808,111.1893,69.36,71.5485,103.9964,214.4316,84.6459,123.9332,112.3211,67.9243,72.9691
212.1263,85.2237,124.8808,111.1893,69.36,71.5485,103.9964,214.4316,84.6459,123.9332,112.3211,67.9243,72.9691,110.0224
85.2237,124.8808,111.1893,69.36,71.5485,103.9964,214.4316,84.6459,123.9332,112.3211,67.9243,72.9691,110.0224,215.8652
124.8808,111.1893,69.36,71.5485,103.9964,214.4316,84.6459,123.9332,112.3211,67.9243,72.9691,110.0224,215.8652,84.9481
111.1893,69.36,71.5485,103.9964,214.4316,84.6459,123.9332,112.3211,67.9243,72.9691,110.0224,215.8652,84.9481,123.0003
69.36,71.5485,103.9964,214.4316,84.6459,123.9332,112.3211,67.9243,72.9691,110.0224,215.8652,84.9481,123.0003,111.1137
71.5485,103.9964,214.4316,84.6459,123.9332,112.3211,67.9243,72.9691,110.0224,215.8652,84.9481,123.0003,111.1137,64.2151
103.9964,214.4316,84.6459,123.9332,112.3211,67.9243,72.9691,110.0224,215.8652,84.9481,123.0003,111.1137,64.2151,66.8758
214.4316,84.6459,123.9332,112.3211,67.9243,72.9691,110.0224,215.8652,84.9481,123.0003,111.1137,64.2151,66.8758,111.7777
84.6459,123.9332,112.3211,67.9243,72.9691,110.0224,215.8652,84.9481,123.0003,111.1137,64.2151,66.8758,111.7777,212.4835
123.9332,112.3211,67.9243,72.9691,110.0224,215.8652,84.9481,123.0003,111.1137,64.2151,66.8758,111.7777,212.4835,85.1421
112.3211,67.9243,72.9691,110.0224,215.8652,84.9481,123.0003,111.1137,64.2151,66.8758,111.7777,212.4835,85.1421,125.8524
67.9243,72.9691,110.0224,215.8652,84.9481,123.0003,111.1137,64.2151,66.8758,111.7777,212.4835,85.1421,125.8524,110.8666
72.9691,110.0224,215.8652,84.9481,123.0003,111.1137,64.2151,66.8758,111.7777,212.4835,85.1421,125.8524,110.8666,66.1587
110.0224,215.8652,84.9481,123.0003,111.1137,64.2151,66.8758,111.7777,212.4835,85.1421,125.8524,110.8666,66.1587,65.982
215.8652,84.9481,123.0003,111.1137,64.2151,66.8758,111.7777,212.4835,85.1421,125.8524,110.8666,66.1587,65.982,109.5807
84.9481,123.0003,111.1137,64.2151,66.8758,111.7777,212.4835,85.1421,125.8524,110.8666,66.1587,65.982,109.5807,214.3594
123.0003,111.1137,64.2151,66.8758,111.7777,212.4835,85.1421,125.8524,110.8666,66.1587,65.982,109.5807,214.3594,87.5208
111.1137,64.2151,66.8758,111.7777,212.4835,85.1421,125.8524,110.8666,66.1587,65.982,109.5807,214.3594,87.5208,128.7997
64.2151,66.8758,111.7777,212.4835,85.1421,125.8524,110.8666,66.1587,65.982,109.5807,214.3594,87.5208,128.7997,112.5667
66.8758,111.7777,212.4835,85.1421,125.8524,110.8666,66.1587,65.982,109.5807,214.3594,87.5208,128.7997,112.5667,68.9992
111.7777,212.4835,85.1421,125.8524,110.8666,66.1587,65.982,109.5807,214.3594,87.5208,128.7997,112.5667,68.9992,70.9847
212.4835,85.1421,125.8524,110.8666,66.1587,65.982,109.5807,214.3594,87.5208,128.7997,112.5667,68.9992,70.9847,104.7363
85.1421,125.8524,110.8666,66.1587,65.982,109.5807,214.3594,87.5208,128.7997,112.5667,68.9992,70.9847,104.7363,218.6803
125.8524,110.8666,66.1587,65.982,109.5807,214.3594,87.5208,128.7997,112.5667,68.9992,70.9847,104.7363,218.6803,88.8856
110.8666,66.1587,65.982,109.5807,214.3594,87.5208,128.7997,112.5667,68.9992,70.9847,104.7363,218.6803,88.8856,130.2977
66.1587,65.982,109.5807,214.3594,87.5208,128.7997,112.5667,68.9992,70.9847,104.7363,218.6803,88.8856,130.2977,115.8058
65.982,109.5807,214.3594,87.5208,128.7997,112.5667,68.9992,70.9847,104.7363,218.6803,88.8856,130.2977,115.8058,75.3893
109.5807,214.3594,87.5208,128.7997,112.5667,68.9992,70.9847,104.7363,218.6803,88.8856,130.2977,115.8058,75.3893,73.615
214.3594,87.5208,128.7997,112.5667,68.9992,70.9847,104.7363,218.6803,88.8856,130.2977,115.8058,75.3893,73.615,107.9669
87.5208,128.7997,112.5667,68.9992,70.9847,104.7363,218.6803,88.8856,130.2977,115.8058,75.3893,73.615,107.9669,221.5261
128.7997,112.5667,68.9992,70.9847,104.7363,218.6803,88.8856,130.2977,115.8058,75.3893,73.615,107.9669,221.5261,90.668
112.5667,68.9992,70.9847,104.7363,218.6803,88.8856,130.2977,115.8058,75.3893,73.615,107.9669,221.5261,90.668,129.5648
68.9992,70.9847,104.7363,218.6803,88.8856,130.2977,115.8058,75.3893,73.615,107.9669,221.5261,90.668,129.5648,117.7021
70.9847,104.7363,218.6803,88.8856,130.2977,115.8058,75.3893,73.615,107.9669,221.5261,90.668,129.5648,117.7021,77.4936
104.7363,218.6803,88.8856,130.2977,115.8058,75.3893,73.615,107.9669,221.5261,90.668,129.5648,117.7021,77.4936,73.1567
218.6803,88.8856,130.2977,115.8058,75.3893,73.615,107.9669,221.5261,90.668,129.5648,117.7021,77.4936,73.1567,113.8036
88.8856,130.2977,115.8058,75.3893,73.615,107.9669,221.5261,90.668,129.5648,117.7021,77.4936,73.1567,113.8036,221.8508
130.2977,115.8058,75.3893,73.615,107.9669,221.5261,90.668,129.5648,117.7021,77.4936,73.1567,113.8036,221.8508,92.153
115.8058,75.3893,73.615,107.9669,221.5261,90.668,129.5648,117.7021,77.4936,73.1567,113.8036,221.8508,92.153,129.7116
75.3893,73.615,107.9669,221.5261,90.668,129.5648,117.7021,77.4936,73.1567,113.8036,221.8508,92.153,129.7116,118.3733
73.615,107.9669,221.5261,90.668,129.5648,117.7021,77.4936,73.1567,113.8036,221.8508,92.153,129.7116,118.3733,78.9473
107.9669,221.5261,90.668,129.5648,117.7021,77.4936,73.1567,113.8036,221.8508,92.153,129.7116,118.3733,78.9473,73.7971
221.5261,90.668,129.5648,117.7021,77.4936,73.1567,113.8036,221.8508,92.153,129.7116,118.3733,78.9473,73.7971,113.7801
90.668,129.5648,117.7021,77.4936,73.1567,113.8036,221.8508,92.153,129.7116,118.3733,78.9473,73.7971,113.7801,219.6197
