MLPt-5,MSPt-7,MSPt-6,IVt-1,IVt-5,IVt-7,IVt-6,MLPt-6,MLPt-7,DVt-6,DVt-7,MLPt-2,MLPt-3,MLPt-4,MLPt-1
92.7895882,86.2865,130.6538,15.94,28.33666667,39.23,24.57,130.0374365,76.0,61.56,41.63,132.7857393,79.36507937,87.32517483,207.1290944
87.32517483,130.6538,117.9588,41.95,35.13,24.57,28.33666667,92.7895882,130.0374365,59.41833333,61.56,207.1290944,132.7857393,79.36507937,73.992891
79.36507937,117.9588,77.7368,26.11,29.49,28.33666667,35.13,87.32517483,92.7895882,54.69,59.41833333,73.992891,207.1290944,132.7857393,131.2192455
132.7857393,77.7368,75.7496,30.04666667,25.38,35.13,29.49,79.36507937,87.32517483,59.67,54.69,131.2192455,73.992891,207.1290944,92.97800338
207.1290944,75.7496,109.9677,37.25,15.94,29.49,25.38,132.7857393,79.36507937,63.98,59.67,92.97800338,131.2192455,73.992891,88.09055118
73.992891,109.9677,221.4781,33.12,41.95,25.38,15.94,207.1290944,132.7857393,75.46,63.98,88.09055118,92.97800338,131.2192455,78.15968379
131.2192455,221.4781,86.2178,25.91,26.11,15.94,41.95,73.992891,207.1290944,39.09,75.46,78.15968379,88.09055118,92.97800338,130.4179567
92.97800338,86.2178,128.3126,16.0,30.04666667,41.95,26.11,131.2192455,73.992891,60.32,39.09,130.4179567,78.15968379,88.09055118,204.082563
88.09055118,128.3126,116.5057,43.5,37.25,26.11,30.04666667,92.97800338,131.2192455,57.725,60.32,204.082563,130.4179567,78.15968379,72.24025974
78.15968379,116.5057,74.5605,27.09,33.12,30.04666667,37.25,88.09055118,92.97800338,52.72,57.725,72.24025974,204.082563,130.4179567,131.3197636
130.4179567,74.5605,72.4813,31.85166667,25.91,37.25,33.12,78.15968379,88.09055118,56.02,52.72,131.3197636,72.24025974,204.082563,92.586931
204.082563,72.4813,115.9838,41.66,16.0,33.12,25.91,130.4179567,78.15968379,62.74,56.02,92.586931,131.3197636,72.24025974,86.37837838
72.24025974,115.9838,215.0015,36.48,43.5,25.91,16.0,204.082563,130.4179567,75.55,62.74,86.37837838,92.586931,131.3197636,75.41007773
131.3197636,215.0015,85.31,26.38,27.09,16.0,43.5,72.24025974,204.082563,37.9,75.55,75.41007773,86.37837838,92.586931,129.8076923
92.586931,85.31,127.7413,15.74,31.85166667,43.5,27.09,131.3197636,72.24025974,59.57,37.9,129.8076923,75.41007773,86.37837838,204.9324721
86.37837838,127.7413,112.7881,42.71,41.66,27.09,31.85166667,92.586931,131.3197636,55.84166667,59.57,204.9324721,129.8076923,75.41007773,74.4966443
75.41007773,112.7881,73.3758,28.08,36.48,31.85166667,41.66,86.37837838,92.586931,48.17,55.84166667,74.4966443,204.9324721,129.8076923,133.1113801
129.8076923,73.3758,71.3695,33.565,26.38,41.66,36.48,75.41007773,86.37837838,52.1,48.17,133.1113801,74.4966443,204.9324721,92.25427105
204.9324721,71.3695,103.9302,47.04,15.74,36.48,26.38,129.8076923,75.41007773,61.76,52.1,92.25427105,133.1113801,74.4966443,84.71932497
74.4966443,103.9302,212.1263,39.04,42.71,26.38,15.74,204.9324721,129.8076923,75.87,61.76,84.71932497,92.25427105,133.1113801,75.72446362
133.1113801,212.1263,85.2237,28.78,28.08,15.74,42.71,74.4966443,204.9324721,39.4,75.87,75.72446362,84.71932497,92.25427105,126.1430469
92.25427105,85.2237,124.8808,15.69,33.565,42.71,28.08,133.1113801,74.4966443,58.2,39.4,126.1430469,75.72446362,84.71932497,200.0
84.71932497,124.8808,111.1893,44.23,47.04,28.08,33.565,92.25427105,133.1113801,54.10666667,58.2,200.0,126.1430469,75.72446362,78.02919708
75.72446362,111.1893,69.36,27.97,39.04,33.565,47.04,84.71932497,92.25427105,42.19,54.10666667,78.02919708,200.0,126.1430469,134.555007
126.1430469,69.36,71.5485,34.99666667,28.78,47.04,39.04,75.72446362,84.71932497,49.53,42.19,134.555007,78.02919708,200.0,92.28824273
200.0,71.5485,103.9964,48.72,15.69,39.04,28.78,126.1430469,75.72446362,59.45,49.53,92.28824273,134.555007,78.02919708,83.67945381
78.02919708,103.9964,214.4316,41.39,44.23,28.78,15.69,200.0,126.1430469,75.96,59.45,83.67945381,92.28824273,134.555007,75.712118
134.555007,214.4316,84.6459,31.98,27.97,15.69,44.23,78.02919708,200.0,37.39,75.96,75.712118,83.67945381,92.28824273,126.443418
92.28824273,84.6459,123.9332,16.13,34.99666667,44.23,27.97,134.555007,78.02919708,57.73,37.39,126.443418,75.712118,83.67945381,208.5650723
83.67945381,123.9332,112.3211,44.13,48.72,27.97,34.99666667,92.28824273,134.555007,52.43833333,57.73,208.5650723,126.443418,75.712118,83.26923077
75.712118,112.3211,67.9243,28.23,41.39,34.99666667,48.72,83.67945381,92.28824273,40.74,52.43833333,83.26923077,208.5650723,126.443418,135.5932203
126.443418,67.9243,72.9691,36.16,31.98,48.72,41.39,75.712118,83.67945381,47.59,40.74,135.5932203,83.26923077,208.5650723,92.21311475
208.5650723,72.9691,110.0224,50.31,16.13,41.39,31.98,126.443418,75.712118,55.22,47.59,92.21311475,135.5932203,83.26923077,87.63575606
83.26923077,110.0224,215.8652,41.37,44.13,31.98,16.13,208.5650723,126.443418,75.46,55.22,87.63575606,92.21311475,135.5932203,74.85422741
135.5932203,215.8652,84.9481,36.79,28.23,16.13,44.13,83.26923077,208.5650723,37.33,75.46,74.85422741,87.63575606,92.21311475,128.2051282
92.21311475,84.9481,123.0003,17.14,36.16,44.13,28.23,135.5932203,83.26923077,57.67,37.33,128.2051282,74.85422741,87.63575606,210.6493506
87.63575606,123.0003,111.1137,45.62,50.31,28.23,36.16,92.21311475,135.5932203,51.53666667,57.67,210.6493506,128.2051282,74.85422741,85.75514874
74.85422741,111.1137,64.2151,28.85,41.37,36.16,50.31,87.63575606,92.21311475,39.92,51.53666667,85.75514874,210.6493506,128.2051282,136.5949871
128.2051282,64.2151,66.8758,37.09333333,36.79,50.31,41.37,74.85422741,87.63575606,48.04,39.92,136.5949871,85.75514874,210.6493506,93.85782367
210.6493506,66.8758,111.7777,51.4,17.14,41.37,36.79,128.2051282,74.85422741,50.8,48.04,93.85782367,136.5949871,85.75514874,89.24107143
85.75514874,111.7777,212.4835,42.03,45.62,36.79,17.14,210.6493506,128.2051282,73.9,50.8,89.24107143,93.85782367,136.5949871,74.2011025
136.5949871,212.4835,85.1421,37.52,28.85,17.14,45.62,85.75514874,210.6493506,35.73,73.9,74.2011025,89.24107143,93.85782367,126.1812298
93.85782367,85.1421,125.8524,18.88,37.09333333,45.62,28.85,136.5949871,85.75514874,57.48,35.73,126.1812298,74.2011025,89.24107143,213.2571278
89.24107143,125.8524,110.8666,46.45,51.4,28.85,37.09333333,93.85782367,136.5949871,50.48,57.48,213.2571278,126.1812298,74.2011025,87.12410256
74.2011025,110.8666,66.1587,30.21,42.03,37.09333333,51.4,89.24107143,93.85782367,38.53,50.48,87.12410256,213.2571278,126.1812298,136.2878788
126.1812298,66.1587,65.982,38.10333333,37.52,51.4,42.03,74.2011025,89.24107143,47.43,38.53,136.2878788,87.12410256,213.2571278,93.04083426
213.2571278,65.982,109.5807,50.94,18.88,42.03,37.52,126.1812298,74.2011025,49.81,47.43,93.04083426,136.2878788,87.12410256,87.32517483
87.12410256,109.5807,214.3594,45.33,46.45,37.52,18.88,213.2571278,126.1812298,72.02,49.81,87.32517483,93.04083426,136.2878788,75.20666681
136.2878788,214.3594,87.5208,36.81,30.21,18.88,46.45,87.12410256,213.2571278,34.95,72.02,75.20666681,87.32517483,93.04083426,127.6335312
93.04083426,87.5208,128.7997,20.6,38.10333333,46.45,30.21,136.2878788,87.12410256,55.43,34.95,127.6335312,75.20666681,87.32517483,210.1293771
87.32517483,128.7997,112.5667,47.41,50.94,30.21,38.10333333,93.04083426,136.2878788,49.16666667,55.43,210.1293771,127.6335312,75.20666681,87.28162124
75.20666681,112.5667,68.9992,31.43,45.33,38.10333333,50.94,87.32517483,93.04083426,38.38,49.16666667,87.28162124,210.1293771,127.6335312,135.1663055
127.6335312,68.9992,70.9847,39.52166667,36.81,50.94,45.33,75.20666681,87.32517483,44.36,38.38,135.1663055,87.28162124,210.1293771,91.98337292
210.1293771,70.9847,104.7363,50.64,20.6,45.33,36.81,127.6335312,75.20666681,49.86,44.36,91.98337292,135.1663055,87.28162124,85.8543883
87.28162124,104.7363,218.6803,48.2,47.41,36.81,20.6,210.1293771,127.6335312,69.08,49.86,85.8543883,91.98337292,135.1663055,76.80860806
135.1663055,218.6803,88.8856,38.85,31.43,20.6,47.41,87.28162124,210.1293771,34.06,69.08,76.80860806,85.8543883,91.98337292,127.2955247
91.98337292,88.8856,130.2977,22.56,39.52166667,47.41,31.43,135.1663055,87.28162124,53.72,34.06,127.2955247,76.80860806,85.8543883,207.7506596
85.8543883,130.2977,115.8058,49.0,50.64,31.43,39.52166667,91.98337292,135.1663055,47.60833333,53.72,207.7506596,127.2955247,76.80860806,86.68981481
76.80860806,115.8058,75.3893,33.39,48.2,39.52166667,50.64,85.8543883,91.98337292,38.78,47.60833333,86.68981481,207.7506596,127.2955247,134.3241042
127.2955247,75.3893,73.615,41.46833333,38.85,50.64,48.2,76.80860806,85.8543883,41.55,38.78,134.3241042,86.68981481,207.7506596,91.21657115
207.7506596,73.615,107.9669,51.61,22.56,48.2,38.85,127.2955247,76.80860806,48.46,41.55,91.21657115,134.3241042,86.68981481,82.35294118
86.68981481,107.9669,221.5261,51.98,49.0,38.85,22.56,207.7506596,127.2955247,66.5,48.46,82.35294118,91.21657115,134.3241042,76.44557823
134.3241042,221.5261,90.668,40.27,33.39,22.56,49.0,86.68981481,207.7506596,32.8,66.5,76.44557823,82.35294118,91.21657115,127.6335312
91.21657115,90.668,129.5648,25.34,41.46833333,49.0,33.39,134.3241042,86.68981481,51.34,32.8,127.6335312,76.44557823,82.35294118,204.4419134
82.35294118,129.5648,117.7021,48.09,51.61,33.39,41.46833333,91.21657115,134.3241042,45.59,51.34,204.4419134,127.6335312,76.44557823,86.81108351
76.44557823,117.7021,77.4936,34.68,51.98,41.46833333,51.61,82.35294118,91.21657115,37.47,45.59,86.81108351,204.4419134,127.6335312,133.8849915
127.6335312,77.4936,73.1567,42.68333333,40.27,51.61,51.98,76.44557823,82.35294118,38.05,37.47,133.8849915,86.81108351,204.4419134,90.81818182
204.4419134,73.1567,113.8036,52.88,25.34,51.98,40.27,127.6335312,76.44557823,47.38,38.05,90.81818182,133.8849915,86.81108351,79.46354167
86.81108351,113.8036,221.8508,53.23,48.09,40.27,25.34,204.4419134,127.6335312,63.06,47.38,79.46354167,90.81818182,133.8849915,78.04464121
133.8849915,221.8508,92.153,41.88,34.68,25.34,48.09,86.81108351,204.4419134,33.75,63.06,78.04464121,79.46354167,90.81818182,128.0434783
90.81818182,92.153,129.7116,28.37,42.68333333,48.09,34.68,133.8849915,86.81108351,49.5,33.75,128.0434783,78.04464121,79.46354167,204.5454545
79.46354167,129.7116,118.3733,48.14,52.88,34.68,42.68333333,90.81818182,133.8849915,44.20333333,49.5,204.5454545,128.0434783,78.04464121,87.54055808
78.04464121,118.3733,78.9473,36.25,53.23,42.68333333,52.88,79.46354167,90.81818182,36.62,44.20333333,87.54055808,204.5454545,128.0434783,132.8894807
128.0434783,78.9473,73.7971,43.81166667,41.88,52.88,53.23,78.04464121,79.46354167,36.63,36.62,132.8894807,87.54055808,204.5454545,90.30367232
204.5454545,73.7971,113.7801,54.01,28.37,53.23,41.88,128.0434783,78.04464121,45.66,36.63,90.30367232,132.8894807,87.54055808,79.59302326
87.54055808,113.7801,219.6197,54.29,48.14,41.88,28.37,204.5454545,128.0434783,59.31,45.66,79.59302326,90.30367232,132.8894807,76.84154743
132.8894807,219.6197,90.6809,41.81,36.25,28.37,48.14,87.54055808,204.5454545,33.6,59.31,76.84154743,79.59302326,90.30367232,127.5517865
90.30367232,90.6809,131.8793,31.94,43.81166667,48.14,36.25,132.8894807,87.54055808,47.78,33.6,127.5517865,76.84154743,79.59302326,204.0136054
79.59302326,131.8793,117.2075,48.52,54.01,36.25,43.81166667,90.30367232,132.8894807,42.93,47.78,204.0136054,127.5517865,76.84154743,84.78581979
76.84154743,117.2075,78.6993,36.79,54.29,43.81166667,54.01,79.59302326,90.30367232,35.51,42.93,84.78581979,204.0136054,127.5517865,133.044268
127.5517865,78.6993,77.7075,44.12,41.81,54.01,54.29,76.84154743,79.59302326,35.59,35.51,133.044268,84.78581979,204.0136054,91.25
204.0136054,77.7075,104.6582,52.6,31.94,54.29,41.81,127.5517865,76.84154743,45.79,35.59,91.25,133.044268,84.78581979,78.41020608
84.78581979,104.6582,218.2015,55.26,48.52,41.81,31.94,204.0136054,127.5517865,56.14,45.79,78.41020608,91.25,133.044268,75.54417414
