MLPt-12,MLPt-11,MLPt-10,MLPt-9,MLPt-8,MLPt-7,MLPt-6,MLPt-5,MLPt-4,MLPt-3,MLPt-2,MLPt-1
136.5226552,161.6331096,138.1543867,146.1754609,143.2225769,208.2738095,254.4374016,138.3982036,163.3696563,138.7820513,152.807602,143.9001211
161.6331096,138.1543867,146.1754609,143.2225769,208.2738095,254.4374016,138.3982036,163.3696563,138.7820513,152.807602,143.9001211,206.3358884
138.1543867,146.1754609,143.2225769,208.2738095,254.4374016,138.3982036,163.3696563,138.7820513,152.807602,143.9001211,206.3358884,254.5576408
146.1754609,143.2225769,208.2738095,254.4374016,138.3982036,163.3696563,138.7820513,152.807602,143.9001211,206.3358884,254.5576408,141.8245467
143.2225769,208.2738095,254.4374016,138.3982036,163.3696563,138.7820513,152.807602,143.9001211,206.3358884,254.5576408,141.8245467,166.1609425
208.2738095,254.4374016,138.3982036,163.3696563,138.7820513,152.807602,143.9001211,206.3358884,254.5576408,141.8245467,166.1609425,139.1364903
254.4374016,138.3982036,163.3696563,138.7820513,152.807602,143.9001211,206.3358884,254.5576408,141.8245467,166.1609425,139.1364903,171.697878
138.3982036,163.3696563,138.7820513,152.807602,143.9001211,206.3358884,254.5576408,141.8245467,166.1609425,139.1364903,171.697878,144.3364574
163.3696563,138.7820513,152.807602,143.9001211,206.3358884,254.5576408,141.8245467,166.1609425,139.1364903,171.697878,144.3364574,202.3034768
138.7820513,152.807602,143.9001211,206.3358884,254.5576408,141.8245467,166.1609425,139.1364903,171.697878,144.3364574,202.3034768,253.55273
152.807602,143.9001211,206.3358884,254.5576408,141.8245467,166.1609425,139.1364903,171.697878,144.3364574,202.3034768,253.55273,140.8633561
143.9001211,206.3358884,254.5576408,141.8245467,166.1609425,139.1364903,171.697878,144.3364574,202.3034768,253.55273,140.8633561,165.4120772
206.3358884,254.5576408,141.8245467,166.1609425,139.1364903,171.697878,144.3364574,202.3034768,253.55273,140.8633561,165.4120772,139.1194332
254.5576408,141.8245467,166.1609425,139.1364903,171.697878,144.3364574,202.3034768,253.55273,140.8633561,165.4120772,139.1194332,217.2060795
141.8245467,166.1609425,139.1364903,171.697878,144.3364574,202.3034768,253.55273,140.8633561,165.4120772,139.1194332,217.2060795,143.92
166.1609425,139.1364903,171.697878,144.3364574,202.3034768,253.55273,140.8633561,165.4120772,139.1194332,217.2060795,143.92,200.0805153
139.1364903,171.697878,144.3364574,202.3034768,253.55273,140.8633561,165.4120772,139.1194332,217.2060795,143.92,200.0805153,253.2855436
171.697878,144.3364574,202.3034768,253.55273,140.8633561,165.4120772,139.1194332,217.2060795,143.92,200.0805153,253.2855436,140.5141349
144.3364574,202.3034768,253.55273,140.8633561,165.4120772,139.1194332,217.2060795,143.92,200.0805153,253.2855436,140.5141349,164.1255869
202.3034768,253.55273,140.8633561,165.4120772,139.1194332,217.2060795,143.92,200.0805153,253.2855436,140.5141349,164.1255869,139.7166728
253.55273,140.8633561,165.4120772,139.1194332,217.2060795,143.92,200.0805153,253.2855436,140.5141349,164.1255869,139.7166728,244.5705606
