SFGt-12,SFGt-11,SFGt-10,SFGt-9,SFGt-8,SFGt-7,SFGt-6,SFGt-5,SFGt-4,SFGt-3,SFGt-2,SFGt-1
69.28378604,72.14111005,71.57231669,76.7,73.25557678,66.67,69.4,67.95886551,66.26035344,72.72943979,72.73,69.61310018
72.14111005,71.57231669,76.7,73.25557678,66.67,69.4,67.95886551,66.26035344,72.72943979,72.73,69.61310018,64.95
71.57231669,76.7,73.25557678,66.67,69.4,67.95886551,66.26035344,72.72943979,72.73,69.61310018,64.95,65.01
76.7,73.25557678,66.67,69.4,67.95886551,66.26035344,72.72943979,72.73,69.61310018,64.95,65.01,63.6110334
73.25557678,66.67,69.4,67.95886551,66.26035344,72.72943979,72.73,69.61310018,64.95,65.01,63.6110334,59.77945239
66.67,69.4,67.95886551,66.26035344,72.72943979,72.73,69.61310018,64.95,65.01,63.6110334,59.77945239,69.76629035
69.4,67.95886551,66.26035344,72.72943979,72.73,69.61310018,64.95,65.01,63.6110334,59.77945239,69.76629035,70.07
67.95886551,66.26035344,72.72943979,72.73,69.61310018,64.95,65.01,63.6110334,59.77945239,69.76629035,70.07,60.13473493
66.26035344,72.72943979,72.73,69.61310018,64.95,65.01,63.6110334,59.77945239,69.76629035,70.07,60.13473493,59.64
72.72943979,72.73,69.61310018,64.95,65.01,63.6110334,59.77945239,69.76629035,70.07,60.13473493,59.64,68.32
72.73,69.61310018,64.95,65.01,63.6110334,59.77945239,69.76629035,70.07,60.13473493,59.64,68.32,66.29826933
69.61310018,64.95,65.01,63.6110334,59.77945239,69.76629035,70.07,60.13473493,59.64,68.32,66.29826933,72.92091573
64.95,65.01,63.6110334,59.77945239,69.76629035,70.07,60.13473493,59.64,68.32,66.29826933,72.92091573,72.26334669
65.01,63.6110334,59.77945239,69.76629035,70.07,60.13473493,59.64,68.32,66.29826933,72.92091573,72.26334669,76.37
63.6110334,59.77945239,69.76629035,70.07,60.13473493,59.64,68.32,66.29826933,72.92091573,72.26334669,76.37,69.80729397
59.77945239,69.76629035,70.07,60.13473493,59.64,68.32,66.29826933,72.92091573,72.26334669,76.37,69.80729397,60.15
69.76629035,70.07,60.13473493,59.64,68.32,66.29826933,72.92091573,72.26334669,76.37,69.80729397,60.15,71.32
70.07,60.13473493,59.64,68.32,66.29826933,72.92091573,72.26334669,76.37,69.80729397,60.15,71.32,73.66415575
60.13473493,59.64,68.32,66.29826933,72.92091573,72.26334669,76.37,69.80729397,60.15,71.32,73.66415575,74.61565726
59.64,68.32,66.29826933,72.92091573,72.26334669,76.37,69.80729397,60.15,71.32,73.66415575,74.61565726,64.52906958
68.32,66.29826933,72.92091573,72.26334669,76.37,69.80729397,60.15,71.32,73.66415575,74.61565726,64.52906958,75.23
66.29826933,72.92091573,72.26334669,76.37,69.80729397,60.15,71.32,73.66415575,74.61565726,64.52906958,75.23,72.79674932
72.92091573,72.26334669,76.37,69.80729397,60.15,71.32,73.66415575,74.61565726,64.52906958,75.23,72.79674932,62.47
72.26334669,76.37,69.80729397,60.15,71.32,73.66415575,74.61565726,64.52906958,75.23,72.79674932,62.47,72.36
76.37,69.80729397,60.15,71.32,73.66415575,74.61565726,64.52906958,75.23,72.79674932,62.47,72.36,74.28094171
69.80729397,60.15,71.32,73.66415575,74.61565726,64.52906958,75.23,72.79674932,62.47,72.36,74.28094171,63.44189658
60.15,71.32,73.66415575,74.61565726,64.52906958,75.23,72.79674932,62.47,72.36,74.28094171,63.44189658,65.42391771
71.32,73.66415575,74.61565726,64.52906958,75.23,72.79674932,62.47,72.36,74.28094171,63.44189658,65.42391771,78.62
73.66415575,74.61565726,64.52906958,75.23,72.79674932,62.47,72.36,74.28094171,63.44189658,65.42391771,78.62,75.44945093
74.61565726,64.52906958,75.23,72.79674932,62.47,72.36,74.28094171,63.44189658,65.42391771,78.62,75.44945093,62.67
64.52906958,75.23,72.79674932,62.47,72.36,74.28094171,63.44189658,65.42391771,78.62,75.44945093,62.67,73.81
75.23,72.79674932,62.47,72.36,74.28094171,63.44189658,65.42391771,78.62,75.44945093,62.67,73.81,78.85084542
72.79674932,62.47,72.36,74.28094171,63.44189658,65.42391771,78.62,75.44945093,62.67,73.81,78.85084542,73.46322844
