SFGt-12,SFGt-11,SFGt-10,SFGt-9,SFGt-8,SFGt-7,SFGt-6,SFGt-5,SFGt-4,SFGt-3,SFGt-2,SFGt-1
77.26,78.82333,80.14,79.07,78.82333,78.82333,78.82333,76.8,80.79667,81.69,83.9,80.79667
78.82333,80.14,79.07,78.82333,78.82333,78.82333,76.8,80.79667,81.69,83.9,80.79667,80.79667
80.14,79.07,78.82333,78.82333,78.82333,76.8,80.79667,81.69,83.9,80.79667,80.79667,80.79667
79.07,78.82333,78.82333,78.82333,76.8,80.79667,81.69,83.9,80.79667,80.79667,80.79667,75.45
78.82333,78.82333,78.82333,76.8,80.79667,81.69,83.9,80.79667,80.79667,80.79667,75.45,77.56
78.82333,78.82333,76.8,80.79667,81.69,83.9,80.79667,80.79667,80.79667,75.45,77.56,79.39
78.82333,76.8,80.79667,81.69,83.9,80.79667,80.79667,80.79667,75.45,77.56,79.39,77.84
76.8,80.79667,81.69,83.9,80.79667,80.79667,80.79667,75.45,77.56,79.39,77.84,77.56
80.79667,81.69,83.9,80.79667,80.79667,80.79667,75.45,77.56,79.39,77.84,77.56,77.56
81.69,83.9,80.79667,80.79667,80.79667,75.45,77.56,79.39,77.84,77.56,77.56,77.56
83.9,80.79667,80.79667,80.79667,75.45,77.56,79.39,77.84,77.56,77.56,77.56,76.05
80.79667,80.79667,80.79667,75.45,77.56,79.39,77.84,77.56,77.56,77.56,76.05,76.74
80.79667,80.79667,75.45,77.56,79.39,77.84,77.56,77.56,77.56,76.05,76.74,79.81
80.79667,75.45,77.56,79.39,77.84,77.56,77.56,77.56,76.05,76.74,79.81,74.36
75.45,77.56,79.39,77.84,77.56,77.56,77.56,76.05,76.74,79.81,74.36,76.74
77.56,79.39,77.84,77.56,77.56,77.56,76.05,76.74,79.81,74.36,76.74,76.74
79.39,77.84,77.56,77.56,77.56,76.05,76.74,79.81,74.36,76.74,76.74,76.74
77.84,77.56,77.56,77.56,76.05,76.74,79.81,74.36,76.74,76.74,76.74,75.42
77.56,77.56,77.56,76.05,76.74,79.81,74.36,76.74,76.74,76.74,75.42,76.82667
77.56,77.56,76.05,76.74,79.81,74.36,76.74,76.74,76.74,75.42,76.82667,78.64
77.56,76.05,76.74,79.81,74.36,76.74,76.74,76.74,75.42,76.82667,78.64,76.42
76.05,76.74,79.81,74.36,76.74,76.74,76.74,75.42,76.82667,78.64,76.42,76.82667
76.74,79.81,74.36,76.74,76.74,76.74,75.42,76.82667,78.64,76.42,76.82667,76.82667
79.81,74.36,76.74,76.74,76.74,75.42,76.82667,78.64,76.42,76.82667,76.82667,76.82667
74.36,76.74,76.74,76.74,75.42,76.82667,78.64,76.42,76.82667,76.82667,76.82667,74.48
76.74,76.74,76.74,75.42,76.82667,78.64,76.42,76.82667,76.82667,76.82667,74.48,76.51667
76.74,76.74,75.42,76.82667,78.64,76.42,76.82667,76.82667,76.82667,74.48,76.51667,75.84
76.74,75.42,76.82667,78.64,76.42,76.82667,76.82667,76.82667,74.48,76.51667,75.84,79.23
75.42,76.82667,78.64,76.42,76.82667,76.82667,76.82667,74.48,76.51667,75.84,79.23,76.51667
